speaker,bigram,n,total,tf,idf,tf_idf
Andrew Cuomo,makingprogresshappen https,18,20945,0.004070556309362279,3.912023005428146,0.015924109927115924
Andrew Cuomo,coronavirus watch,16,20945,0.003618272274988693,1.7147984280919266,0.0062046076095592095
Andrew Cuomo,nohateinourstate https,12,20945,0.0027137042062415195,3.912023005428146,0.01061607328474395
Andrew Cuomo,hate crimes,10,20945,0.002261420171867933,2.5257286443082556,0.005711733704903337
Andrew Cuomo,bond act,9,20945,0.0020352781546811396,3.912023005428146,0.007962054963557962
Andrew Cuomo,closed captioning,9,20945,0.0020352781546811396,3.912023005428146,0.007962054963557962
Andrew Cuomo,nys bringing,7,20945,0.001582994120307553,3.912023005428146,0.006192709416100638
Andrew Cuomo,trusted traveler,7,20945,0.001582994120307553,3.912023005428146,0.006192709416100638
Andrew Cuomo,aumento injusto,6,20945,0.0013568521031207597,3.912023005428146,0.005308036642371975
Andrew Cuomo,crimes task,6,20945,0.0013568521031207597,3.912023005428146,0.005308036642371975
Andy Beshear,ab https,75,11333,0.025870989996550534,3.912023005428146,0.10120790803970711
Andy Beshear,governor beshear,59,11333,0.020351845463953088,3.912023005428146,0.07961688765790294
Andy Beshear,teamkentucky ab,53,11333,0.018282166264229044,3.912023005428146,0.07152025501472636
Andy Beshear,updated information,36,11333,0.012418075198344257,2.302585092994046,0.028593674835386565
Andy Beshear,togetherky teamkentucky,32,11333,0.011038289065194894,3.912023005428146,0.04318204076360837
Andy Beshear,teamkentucky https,30,11333,0.010348395998620214,3.912023005428146,0.04048316321588285
Andy Beshear,gov beshear,22,11333,0.0075888237323214905,3.912023005428146,0.02968765302498076
Andy Beshear,beshear shares,20,11333,0.006898930665746809,3.912023005428146,0.026988775477255235
Andy Beshear,shares updated,20,11333,0.006898930665746809,3.912023005428146,0.026988775477255235
Andy Beshear,share updated,15,11333,0.005174197999310107,3.912023005428146,0.020241581607941424
Asa Hutchinson,governor hutchinson,19,6925,0.01332398316970547,3.912023005428146,0.05212372868382523
Asa Hutchinson,live governor,18,6925,0.012622720897615708,2.8134107167600364,0.0355128982480229
Asa Hutchinson,news conference,13,6925,0.0091164095371669,1.0216512475319812,0.009313791176659016
Asa Hutchinson,radio address,12,6925,0.008415147265077139,3.2188758248682006,0.027087314094262557
Asa Hutchinson,provide covid,11,6925,0.007713884992987377,3.2188758248682006,0.024830037919740675
Asa Hutchinson,i’m holding,10,6925,0.0070126227208976155,2.8134107167600364,0.01972938791556828
Asa Hutchinson,week’s radio,8,6925,0.005610098176718092,3.912023005428146,0.021946833130031675
Asa Hutchinson,sunday https,6,6925,0.004207573632538569,3.2188758248682006,0.013543657047131279
Asa Hutchinson,week's radio,4,6925,0.002805049088359046,3.912023005428146,0.010973416565015838
