speaker,word,n,total,tf,idf,tf_idf
Andrew Cuomo (NY-D),york,139,21812,0.013578196737325389,1.2039728043259361,0.016347779603526926
Andrew Cuomo (NY-D),ny,87,21812,0.0084985835694051,1.4271163556401458,0.012128467611672628
Andrew Cuomo (NY-D),yorkers,82,21812,0.00801015922633584,3.912023005428146,0.03133592717056832
Andrew Cuomo (NY-D),nygovcuomo,69,21812,0.006740255934355769,1.9661128563728327,0.013252103847780156
Andrew Cuomo (NY-D),nys,53,21812,0.005177298036534141,3.912023005428146,0.020253709024879527
Andrew Cuomo (NY-D),makingprogresshappen,29,21812,0.0028328611898017,3.912023005428146,0.0110822181456888
Andrew Cuomo (NY-D),nyc,28,21812,0.002735176321187848,3.912023005428146,0.010700072692389186
Andrew Cuomo (NY-D),nohateinourstate,15,21812,0.0014652730292077757,3.912023005428146,0.005732181799494206
Andrew Cuomo (NY-D),nyers,15,21812,0.0014652730292077757,3.912023005428146,0.005732181799494206
Andrew Cuomo (NY-D),rochelle,14,21812,0.001367588160593924,3.912023005428146,0.005350036346194593
Andy Beshear (KY-D),teamkentucky,156,11819,0.026178889075348214,3.912023005428146,0.10241241631931378
Andy Beshear (KY-D),ab,110,11819,0.018459473065950662,3.2188758248682006,0.05941875159179427
Andy Beshear (KY-D),beshear,100,11819,0.01678133915086424,3.912023005428146,0.06564898482007293
Andy Beshear (KY-D),kentucky,93,11819,0.015606645410303743,2.8134107167600364,0.043907903450022386
Andy Beshear (KY-D),kentuckians,85,11819,0.014264138278234603,3.912023005428146,0.05580163709706199
Andy Beshear (KY-D),togetherky,74,11819,0.012418190971639537,3.912023005428146,0.04858024876685397
Andy Beshear (KY-D),commonwealth,36,11819,0.006041282094311126,2.302585092994046,0.013910566092932649
Andy Beshear (KY-D),shares,23,11819,0.003859708004698775,1.5141277326297755,0.005844090929767552
Andy Beshear (KY-D),patriot,11,11819,0.0018459473065950663,3.912023005428146,0.007221388330208023
Andy Beshear (KY-D),gbiupdlrzt,10,11819,0.0016781339150864238,3.912023005428146,0.006564898482007293
Asa Hutchinson (AR-R),arkansas,59,7196,0.017332549941245595,3.912023005428146,0.06780533411288503
