speaker,bigram,n,total
Andrew Cuomo (NY-D),stay home,21,21811
Andrew Cuomo (NY-D),public health,20,21811
Andrew Cuomo (NY-D),coronavirus watch,18,21811
Andrew Cuomo (NY-D),save lives,18,21811
Andrew Cuomo (NY-D),watch live,15,21811
Andrew Cuomo (NY-D),federal government,12,21811
Andrew Cuomo (NY-D),health care,12,21811
Andrew Cuomo (NY-D),closed captioning,11,21811
Andrew Cuomo (NY-D),hate crimes,10,21811
Andrew Cuomo (NY-D),paid sick,10,21811
Andy Beshear (KY-D),governor beshear,64,11818
Andy Beshear (KY-D),teamkentucky ab,53,11818
Andy Beshear (KY-D),updated information,39,11818
Andy Beshear (KY-D),togetherky teamkentucky,34,11818
Andy Beshear (KY-D),facebook live,28,11818
Andy Beshear (KY-D),watch live,26,11818
Andy Beshear (KY-D),beshear shares,23,11818
Andy Beshear (KY-D),shares updated,23,11818
Andy Beshear (KY-D),gov beshear,22,11818
Andy Beshear (KY-D),share updated,15,11818
Asa Hutchinson (AR-R),governor hutchinson,21,7195
Asa Hutchinson (AR-R),live governor,20,7195
Asa Hutchinson (AR-R),news conference,15,7195
Asa Hutchinson (AR-R),provide covid,13,7195
Asa Hutchinson (AR-R),i’m holding,12,7195
Asa Hutchinson (AR-R),radio address,12,7195
Asa Hutchinson (AR-R),health care,9,7195
Asa Hutchinson (AR-R),week’s radio,8,7195
Asa Hutchinson (AR-R),public health,6,7195
Asa Hutchinson (AR-R),social distancing,6,7195
Bill Lee (TN-R),watch live,8,6365
Bill Lee (TN-R),media briefing,7,6365
Bill Lee (TN-R),unified command,7,6365
Bill Lee (TN-R),health care,6,6365
Bill Lee (TN-R),public information,6,6365
Bill Lee (TN-R),information line,5,6365
Bill Lee (TN-R),recovery efforts,5,6365
Bill Lee (TN-R),tnsots address,5,6365
Bill Lee (TN-R),health officials,4,6365
Bill Lee (TN-R),middle tennessee,4,6365
Brad Little (ID-R),stay home,15,7417
Brad Little (ID-R),idleg idpol,12,7417
Brad Little (ID-R),public health,12,7417
Brad Little (ID-R),press conference,8,7417
Brad Little (ID-R),governor brad,7,7417
Brad Little (ID-R),idedu idleg,7,7417
Brad Little (ID-R),statewide stay,7,7417
Brad Little (ID-R),idaho public,6,7417
Brad Little (ID-R),health district,5,7417
Brad Little (ID-R),idaho governorlittle,5,7417
Brian Kemp (GA-R),gt gt,20,12007
Brian Kemp (GA-R),public health,12,12007
Brian Kemp (GA-R),covid ー,11,12007
Brian Kemp (GA-R),law enforcement,11,12007
Brian Kemp (GA-R),georgia gapol,10,12007
Brian Kemp (GA-R),task force,9,12007
Brian Kemp (GA-R),total confirmed,9,12007
Brian Kemp (GA-R),families safe,8,12007
Brian Kemp (GA-R),human trafficking,8,12007
Brian Kemp (GA-R),gapol update,7,12007
Charlie Baker (MA-R),health care,31,10563
Charlie Baker (MA-R),massltgov masshhs,20,10563
Charlie Baker (MA-R),masshhs sec,11,10563
Charlie Baker (MA-R),masshhs masseea,9,10563
Charlie Baker (MA-R),sec sudders,9,10563
Charlie Baker (MA-R),live covid,8,10563
Charlie Baker (MA-R),local officials,8,10563
Charlie Baker (MA-R),masseea mbta,8,10563
Charlie Baker (MA-R),mbta massdot,8,10563
Charlie Baker (MA-R),public health,8,10563
Chris Sununu (NH-R),granite staters,44,19656
Chris Sununu (NH-R),press conference,28,19656
Chris Sununu (NH-R),watch live,19,19656
Chris Sununu (NH-R),covid ー,16,19656
Chris Sununu (NH-R),state’s response,13,19656
Chris Sununu (NH-R),public health,12,19656
Chris Sununu (NH-R),health care,11,19656
Chris Sununu (NH-R),human services,11,19656
Chris Sununu (NH-R),remote learning,11,19656
Chris Sununu (NH-R),unemployment benefits,11,19656
David Ige (HI-D),social distancing,12,13963
David Ige (HI-D),news conference,9,13963
David Ige (HI-D),david ige,7,13963
David Ige (HI-D),mayorkirkhnl honolulugov,7,13963
David Ige (HI-D),affordable housing,6,13963
David Ige (HI-D),clean energy,6,13963
David Ige (HI-D),govhawaii ige,6,13963
David Ige (HI-D),hawaii department,6,13963
David Ige (HI-D),news release,6,13963
David Ige (HI-D),stay home,6,13963
Doug Burgum (ND-R),north dakota,29,5931
Doug Burgum (ND-R),north dakotans,9,5931
Doug Burgum (ND-R),press briefing,9,5931
Doug Burgum (ND-R),child care,8,5931
Doug Burgum (ND-R),press conference,8,5931
Doug Burgum (ND-R),today’s press,8,5931
Doug Burgum (ND-R),social distancing,7,5931
Doug Burgum (ND-R),health care,6,5931
Doug Burgum (ND-R),north dakota's,6,5931
Doug Burgum (ND-R),stay home,6,5931
Doug Ducey (AZ-R),gov dougducey,108,41809
Doug Ducey (AZ-R),governor dougducey,79,41809
Doug Ducey (AZ-R),public health,66,41809
Doug Ducey (AZ-R),health care,38,41809
Doug Ducey (AZ-R),protect public,33,41809
Doug Ducey (AZ-R),azbalanced budget,32,41809
Doug Ducey (AZ-R),doug ducey,30,41809
Doug Ducey (AZ-R),mental health,30,41809
Doug Ducey (AZ-R),director drcarachrist,29,41809
Doug Ducey (AZ-R),azdhs director,26,41809
Eric Holcomb (IN-R),watch live,23,13002
Eric Holcomb (IN-R),insots nextlevel,13,13002
Eric Holcomb (IN-R),facebook live,12,13002
Eric Holcomb (IN-R),press conference,12,13002
Eric Holcomb (IN-R),health emergency,11,13002
Eric Holcomb (IN-R),public health,11,13002
Eric Holcomb (IN-R),child care,9,13002
Eric Holcomb (IN-R),social distancing,9,13002
Eric Holcomb (IN-R),provide updates,8,13002
Eric Holcomb (IN-R),call center,7,13002
Gary Herbert (UT-R),stay home,10,6351
Gary Herbert (UT-R),safe stay,6,6351
Gary Herbert (UT-R),stay safe,6,6351
Gary Herbert (UT-R),social distancing,5,6351
Gary Herbert (UT-R),home directive,4,6351
Gary Herbert (UT-R),press conference,4,6351
Gary Herbert (UT-R),salt lake,4,6351
Gary Herbert (UT-R),air quality,3,6351
Gary Herbert (UT-R),facebook page,3,6351
Gary Herbert (UT-R),law enforcement,3,6351
Gavin Newsom (CA-D),governor gavinnewsom,39,11939
Gavin Newsom (CA-D),watch live,12,11939
Gavin Newsom (CA-D),health officials,10,11939
Gavin Newsom (CA-D),civil rights,9,11939
Gavin Newsom (CA-D),los angeles,9,11939
Gavin Newsom (CA-D),public health,9,11939
Gavin Newsom (CA-D),cagovernor gavinnewsom,8,11939
Gavin Newsom (CA-D),state’s response,8,11939
Gavin Newsom (CA-D),bayard rustin,6,11939
Gavin Newsom (CA-D),climate change,6,11939
Gina Raimondo (RI-D),rhode island,14,10635
Gina Raimondo (RI-D),rhode islanders,14,10635
Gina Raimondo (RI-D),child care,12,10635
Gina Raimondo (RI-D),distance learning,10,10635
Gina Raimondo (RI-D),watch live,10,10635
Gina Raimondo (RI-D),hot spot,8,10635
Gina Raimondo (RI-D),press conference,8,10635
Gina Raimondo (RI-D),press release,8,10635
Gina Raimondo (RI-D),ri’s response,7,10635
Gina Raimondo (RI-D),frontline workers,6,10635
Greg Abbott (TX-R),human trafficking,16,6755
Greg Abbott (TX-R),lone star,16,6755
Greg Abbott (TX-R),public health,8,6755
Greg Abbott (TX-R),heinous crime,6,6755
Greg Abbott (TX-R),sexual assault,6,6755
Greg Abbott (TX-R),task force,5,6755
Greg Abbott (TX-R),half staff,4,6755
Greg Abbott (TX-R),protect public,4,6755
Greg Abbott (TX-R),texas music,4,6755
Greg Abbott (TX-R),african american,3,6755
Gretchen Whitmer (MI-D),health care,13,7717
Gretchen Whitmer (MI-D),covid ー,12,7717
Gretchen Whitmer (MI-D),stay home,9,7717
Gretchen Whitmer (MI-D),stay safe,7,7717
Gretchen Whitmer (MI-D),care workers,6,7717
Gretchen Whitmer (MI-D),chief medical,6,7717
Gretchen Whitmer (MI-D),home stay,6,7717
Gretchen Whitmer (MI-D),medical executive,6,7717
Gretchen Whitmer (MI-D),save lives,6,7717
Gretchen Whitmer (MI-D),unemployment benefits,6,7717
Henry McMaster (SC-R),south carolina,36,4776
Henry McMaster (SC-R),south carolinians,10,4776
Henry McMaster (SC-R),law enforcement,9,4776
Henry McMaster (SC-R),public health,9,4776
Henry McMaster (SC-R),health officials,8,4776
Henry McMaster (SC-R),henry mcmaster,8,4776
Henry McMaster (SC-R),executive budget,7,4776
Henry McMaster (SC-R),governor henry,6,4776
Henry McMaster (SC-R),media briefing,6,4776
Henry McMaster (SC-R),state's response,6,4776
J. B. Pritzker (IL-D),health care,30,23902
J. B. Pritzker (IL-D),federal government,18,23902
J. B. Pritzker (IL-D),stay home,13,23902
J. B. Pritzker (IL-D),i’m proud,11,23902
J. B. Pritzker (IL-D),care workers,9,23902
J. B. Pritzker (IL-D),en casa,9,23902
J. B. Pritzker (IL-D),public health,9,23902
J. B. Pritzker (IL-D),child care,8,23902
J. B. Pritzker (IL-D),social distancing,8,23902
J. B. Pritzker (IL-D),rebuild illinois,7,23902
Janet Mills (ME-D),maine people,28,4926
Janet Mills (ME-D),health care,11,4926
Janet Mills (ME-D),care system,4,4926
Janet Mills (ME-D),coronavirus covid,4,4926
Janet Mills (ME-D),mepublichealth daily,4,4926
Janet Mills (ME-D),tax credit,4,4926
Janet Mills (ME-D),coverage act,3,4926
Janet Mills (ME-D),daily live,3,4926
Janet Mills (ME-D),health coverage,3,4926
Janet Mills (ME-D),live beginning,3,4926
Jared Polis (CO-D),health care,29,9937
Jared Polis (CO-D),ltgovofco mccluskieforco,14,9937
Jared Polis (CO-D),jared polis,9,9937
Jared Polis (CO-D),presumptive positive,9,9937
Jared Polis (CO-D),care costs,7,9937
Jared Polis (CO-D),coleg copolitics,7,9937
Jared Polis (CO-D),public health,6,9937
Jared Polis (CO-D),renewable energy,6,9937
Jared Polis (CO-D),watch live,6,9937
Jared Polis (CO-D),affordable housing,5,9937
Jay Inslee (WA-D),paidleavewa careerconnectwa,24,13848
Jay Inslee (WA-D),waleg paidleavewa,24,13848
Jay Inslee (WA-D),stay home,21,13848
Jay Inslee (WA-D),health care,18,13848
Jay Inslee (WA-D),climate change,12,13848
Jay Inslee (WA-D),home stay,12,13848
Jay Inslee (WA-D),stay healthy,12,13848
Jay Inslee (WA-D),care workers,10,13848
Jay Inslee (WA-D),social distancing,10,13848
Jay Inslee (WA-D),watch live,10,13848
Jim Justice (WV-R),wv wvgov,113,12403
Jim Justice (WV-R),west virginia,66,12403
Jim Justice (WV-R),gov justice,31,12403
Jim Justice (WV-R),west virginians,29,12403
Jim Justice (WV-R),live gov,28,12403
Jim Justice (WV-R),press briefing,14,12403
Jim Justice (WV-R),toll free,14,12403
Jim Justice (WV-R),holds press,11,12403
Jim Justice (WV-R),free hotline,10,12403
Jim Justice (WV-R),response march,10,12403
John Bel Edwards (LA-D),lagov lalege,608,54759
John Bel Edwards (LA-D),lalege lagov,204,54759
John Bel Edwards (LA-D),lagov louisianagov,95,54759
John Bel Edwards (LA-D),louisianagov louisianagov,74,54759
John Bel Edwards (LA-D),coronavirus louisianagov,58,54759
John Bel Edwards (LA-D),presumptive positive,50,54759
John Bel Edwards (LA-D),gov edwards,39,54759
John Bel Edwards (LA-D),louisiana department,37,54759
John Bel Edwards (LA-D),louisiana lagov,37,54759
John Bel Edwards (LA-D),bel edwards,29,54759
John Carney (DE-D),public health,17,10274
John Carney (DE-D),stay home,15,10274
John Carney (DE-D),town hall,11,10274
John Carney (DE-D),opportunity funding,10,10274
John Carney (DE-D),health care,8,10274
John Carney (DE-D),social distancing,8,10274
John Carney (DE-D),watch live,8,10274
John Carney (DE-D),clean water,7,10274
John Carney (DE-D),delaware_dhss division,7,10274
John Carney (DE-D),call center,6,10274
Kate Brown (OR-D),climate change,15,8357
Kate Brown (OR-D),social distancing,15,8357
Kate Brown (OR-D),public health,9,8357
Kate Brown (OR-D),stay home,9,8357
Kate Brown (OR-D),gas emissions,5,8357
Kate Brown (OR-D),greenhouse gas,5,8357
Kate Brown (OR-D),health care,5,8357
Kate Brown (OR-D),health crisis,5,8357
Kate Brown (OR-D),save lives,5,8357
Kate Brown (OR-D),staying home,5,8357
Kay Ivey (AL-R),alpolitics aledchat,16,11603
Kay Ivey (AL-R),i’m proud,13,11603
Kay Ivey (AL-R),aledchat sboe,11,11603
Kay Ivey (AL-R),it’s time,11,11603
Kay Ivey (AL-R),sboe alsboe,9,11603
Kay Ivey (AL-R),economic development,7,11603
Kay Ivey (AL-R),social distancing,7,11603
Kay Ivey (AL-R),dr scott,6,11603
Kay Ivey (AL-R),health care,6,11603
Kay Ivey (AL-R),scott harris,6,11603
Kevin Stitt (OK-R),health care,14,10602
Kevin Stitt (OK-R),top ten,10,10602
Kevin Stitt (OK-R),call center,7,10602
Kevin Stitt (OK-R),job creators,7,10602
Kevin Stitt (OK-R),business owners,5,10602
Kevin Stitt (OK-R),public health,5,10602
Kevin Stitt (OK-R),red tape,5,10602
Kevin Stitt (OK-R),agency leaders,4,10602
Kevin Stitt (OK-R),care workers,4,10602
Kevin Stitt (OK-R),facebook live,4,10602
Kim Reynolds (IA-R),covid ー,16,6663
Kim Reynolds (IA-R),press conference,11,6663
Kim Reynolds (IA-R),mental health,10,6663
Kim Reynolds (IA-R),iowa act,8,6663
Kim Reynolds (IA-R),town hall,8,6663
Kim Reynolds (IA-R),public health,6,6663
Kim Reynolds (IA-R),additional positive,5,6663
Kim Reynolds (IA-R),kim reynolds,5,6663
Kim Reynolds (IA-R),based learning,4,6663
