speaker,word,n
Democratic Party,health,1055
Democratic Party,covid,767
Democratic Party,people,622
Democratic Party,care,567
Democratic Party,home,561
Democratic Party,public,548
Democratic Party,time,539
Democratic Party,lagov,519
Democratic Party,coronavirus,509
Democratic Party,lalege,470
Republican Party,health,691
Republican Party,covid,677
Republican Party,people,464
Republican Party,day,450
Republican Party,public,437
Republican Party,continue,414
Republican Party,time,411
Republican Party,live,357
Republican Party,care,346
Republican Party,support,338
