speaker,word,n
Andrew Cuomo,https,398
Andrew Cuomo,t.co,398
Andrew Cuomo,coronavirus,134
Andrew Cuomo,york,126
Andrew Cuomo,ny,85
Andrew Cuomo,yorkers,81
Andrew Cuomo,nygovcuomo,69
Andrew Cuomo,health,64
Andrew Cuomo,nys,52
Andrew Cuomo,spread,42
Andy Beshear,https,427
Andy Beshear,t.co,427
Andy Beshear,teamkentucky,148
Andy Beshear,ab,106
Andy Beshear,beshear,95
Andy Beshear,kentucky,92
Andy Beshear,kentuckians,81
Andy Beshear,governor,74
Andy Beshear,togetherky,65
Andy Beshear,live,52
Asa Hutchinson,https,165
Asa Hutchinson,t.co,165
Asa Hutchinson,covid,69
Asa Hutchinson,arkansas,56
Asa Hutchinson,ar,31
Asa Hutchinson,provide,29
Asa Hutchinson,live,26
Asa Hutchinson,update,26
Asa Hutchinson,day,22
Asa Hutchinson,governor,22
Bill Lee,https,226
Bill Lee,t.co,226
Bill Lee,tennessee,72
Bill Lee,tennesseans,38
Bill Lee,covid,36
Bill Lee,tnsots,22
Bill Lee,update,20
Bill Lee,health,18
Bill Lee,watch,16
Bill Lee,week,15
Brad Little,https,249
Brad Little,t.co,249
Brad Little,idaho,131
Brad Little,coronavirus,46
Brad Little,governorlittle,46
Brad Little,idleg,41
Brad Little,health,36
Brad Little,idpol,34
Brad Little,public,33
Brad Little,day,25
Brian Kemp,https,327
Brian Kemp,t.co,327
Brian Kemp,gapol,248
Brian Kemp,georgia,107
Brian Kemp,georgians,51
Brian Kemp,govkemp,49
Brian Kemp,gadph,35
Brian Kemp,time,31
Brian Kemp,covid,30
Brian Kemp,gt,30
Charlie Baker,https,371
Charlie Baker,t.co,371
Charlie Baker,health,53
Charlie Baker,massltgov,45
Charlie Baker,support,44
Charlie Baker,covid,43
Charlie Baker,commonwealth,42
Charlie Baker,care,38
Charlie Baker,continue,36
Charlie Baker,massachusetts,36
Chris Sununu,https,452
Chris Sununu,t.co,452
Chris Sununu,nh,138
Chris Sununu,hampshire,119
Chris Sununu,govchrissununu,95
Chris Sununu,granite,68
Chris Sununu,health,64
Chris Sununu,covid,56
Chris Sununu,live,48
Chris Sununu,emergency,45
David Ige,t.co,527
David Ige,https,526
David Ige,hawaii,82
David Ige,coronavirus,59
David Ige,covid,44
David Ige,govhawaii,42
David Ige,community,36
David Ige,home,36
David Ige,march,30
David Ige,live,29
Doug Burgum,https,160
Doug Burgum,t.co,160
Doug Burgum,covid,49
Doug Burgum,north,48
Doug Burgum,dakota,31
Doug Burgum,spread,22
Doug Burgum,nddoh,21
Doug Burgum,confirmed,17
Doug Burgum,health,16
Doug Burgum,press,16
Doug Ducey,t.co,1367
Doug Ducey,https,1366
Doug Ducey,arizona,537
Doug Ducey,dougducey,362
Doug Ducey,thearizonaway,284
Doug Ducey,health,159
Doug Ducey,gov,149
Doug Ducey,governor,147
Doug Ducey,public,142
Doug Ducey,arizona’s,117
Eric Holcomb,https,370
Eric Holcomb,t.co,370
Eric Holcomb,indiana,104
Eric Holcomb,hoosiers,73
Eric Holcomb,health,46
Eric Holcomb,live,38
Eric Holcomb,statehealthin,35
Eric Holcomb,public,31
Eric Holcomb,emergency,30
Eric Holcomb,spread,29
Gary Herbert,https,125
Gary Herbert,t.co,125
Gary Herbert,utah,49
Gary Herbert,covid,29
Gary Herbert,home,22
Gary Herbert,utpol,21
Gary Herbert,spread,18
Gary Herbert,stay,18
Gary Herbert,coronavirus,17
Gary Herbert,utahns,14
Gavin Newsom,t.co,343
Gavin Newsom,https,342
Gavin Newsom,gavinnewsom,87
Gavin Newsom,california,63
Gavin Newsom,ca,53
Gavin Newsom,health,51
Gavin Newsom,governor,49
Gavin Newsom,californiaforall,38
Gavin Newsom,homelessness,37
Gavin Newsom,live,37
Gina Raimondo,https,165
Gina Raimondo,t.co,165
Gina Raimondo,ri,49
Gina Raimondo,i’m,33
Gina Raimondo,rhode,32
Gina Raimondo,time,32
Gina Raimondo,care,24
Gina Raimondo,coronavirus,24
Gina Raimondo,school,24
Gina Raimondo,students,24
Greg Abbott,https,251
Greg Abbott,t.co,251
Greg Abbott,texas,146
Greg Abbott,txlege,28
Greg Abbott,texans,26
Greg Abbott,health,21
Greg Abbott,continue,20
Greg Abbott,communities,19
Greg Abbott,human,19
Greg Abbott,coronavirus,17
Gretchen Whitmer,t.co,214
Gretchen Whitmer,https,212
Gretchen Whitmer,covid,57
Gretchen Whitmer,michigan,55
Gretchen Whitmer,michiganders,33
Gretchen Whitmer,care,27
Gretchen Whitmer,executive,26
Gretchen Whitmer,health,23
Gretchen Whitmer,information,22
Gretchen Whitmer,spread,22
Henry McMaster,https,101
Henry McMaster,t.co,101
Henry McMaster,south,53
Henry McMaster,carolina,36
Henry McMaster,public,26
Henry McMaster,covid,16
Henry McMaster,response,14
Henry McMaster,schools,14
Henry McMaster,coronavirus,13
